,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,bmi
count,565801.0,565801.0,565801.0,565801.0,565801.0,565801.0,565801.0,565801.0,565801.0,565801.0,565063.0,565801.0
mean,0.24648612334018496,0.24648612370742215,0.2464876187630185,-2.1265351439832765e-08,0.011120517637826727,0.011120517637826727,3.325574044290859e-05,4.5907769593173124e-05,0.0043958918418313155,0.009093303122475924,0.007661328618814773,24.440929690827684
std,0.49019443625567966,0.4901943819731963,0.4900318688310299,0.011601543584352721,0.10486596760259252,0.10486596760259252,0.0024099018326046774,0.0032486695597524853,0.06858372286057446,0.09492434295922449,0.617381836801433,7.791181198301383
min,0.03018,0.0244424628005054,0.0301215208328032,-0.1666030162786149,0.0,0.0,-0.0125312883858584,0.0,0.0,0.0,0.0,16.71
25%,0.05259,0.0525896592211516,0.0525906259752819,-1.474961767448173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.97
50%,0.098759,0.0987599649509393,0.0987948076189902,-4.2330255975199787e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.67
75%,0.182501,0.1825061799473375,0.1820292610817859,1.3898932829295695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3
max,3.688621,3.682954901927028,3.3443630308557983,0.3886127205294111,1.0,1.0,0.3886127205294111,0.4987560928723964,12.6,1.0,384.4,47.62
