,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Quality,PPG_Peaks,HRV_HRV_ULF,HRV_HRV_VLF,HRV_HRV_LF,HRV_HRV_HF,HRV_HRV_VHF,HRV_HRV_TP,HRV_HRV_LFHF,HRV_HRV_LFn,HRV_HRV_HFn,HRV_HRV_LnHF,bmi
count,3747868.0,3747868.0,3747868.0,3747868.0,3747868.0,153059.0,3747868.0,3747868.0,3747868.0,3747868.0,3747868.0,3747868.0,3747868.0,3747868.0,3747868.0,3747868.0
mean,5568.921921743242,-0.0002055571027487626,87.75232595315809,0.7118821479710529,0.014406590626991131,3.173687834320848e-05,0.0065442334510278114,0.012106068212189479,0.023674327286589986,0.008395165036502016,0.050721090087149236,0.575386479051414,0.24174339253908736,0.4387271187593086,-4.164760983760635,24.445114606491046
std,2622.718526636647,22.137461590539562,24.175992645870867,0.2055774191091652,0.11915974388216526,1.3552571428517877e-20,0.003588754506427575,0.00963385283264613,0.01980713814775282,0.007833187416412488,0.03952766665632106,0.21403418790543763,0.05635104759497443,0.06611061531306099,0.9884201514503602,7.793103327017855
min,1311.0,-1415.896922444193,9.090909090909092,-0.6310228035675952,0.0,3.1736878343208464e-05,0.0014404332113684,0.0010122632558267,0.0023465693213554,0.0004026632834414,0.0062661881615265,0.3281649407964832,0.1570175548676798,0.2325746355019843,-6.054800880717663,16.71
25%,3679.0,-6.615370273141991,74.08131156696724,0.5764430176238123,0.0,3.1736878343208464e-05,0.0038312567153799,0.0045320784597799,0.0092411759195509,0.0015463972196822,0.0210825803391804,0.4313800775516903,0.2014762209333551,0.4006448760419249,-4.684086137405259,17.97
50%,5162.0,-0.5073996293880945,85.67921734908322,0.7386849889783603,0.0,3.1736878343208464e-05,0.0055918740141956,0.0092678754621961,0.0140166251077464,0.005086326286049,0.0301026454078165,0.4930845656487875,0.2336302547374285,0.4501013043374,-4.267511146200263,21.67
75%,6544.0,5.8949672444592025,98.59567657732796,0.8786577000218138,0.0,3.1736878343208464e-05,0.0099282718940586,0.0178875067587416,0.0336465277424579,0.016424380508175,0.075630140116717,0.6654392258974003,0.2816213319209853,0.4835650709780705,-3.39184541566112,29.3
max,14377.0,2871.504932472861,193.5483870967742,1.430876808450218,1.0,3.1736878343208464e-05,0.0159339498481174,0.0379168769552553,0.0678284991049757,0.0254649993232621,0.1320001367348523,1.2899057417231132,0.3922479971290106,0.5295999821710012,-2.690772831572871,47.62
